testv3.txt opened
> offset: 16128, typeID: 1, length: 57
> offset: 16188, typeID: 5, length: 20
> offset: 16211, typeID: 3, length: 21
> offset: 16235, typeID: 1, length: 57
> offset: 16295, typeID: 5, length: 20
> offset: 16318, typeID: 17, length: 35
> offset: 16356, typeID: 1, length: 57
> offset: 16416, typeID: 5, length: 20
> offset: 16439, typeID: 1, length: 57
> offset: 16499, typeID: 5, length: 20
> offset: 16522, typeID: 17, length: 35
> offset: 16591, typeID: 1, length: 57
> offset: 16651, typeID: 5, length: 20
> offset: 16664, typeID: 16, length: 128
> offset: 16674, typeID: 1, length: 57
> offset: 16734, typeID: 5, length: 20
> offset: 16757, typeID: 17, length: 35
> offset: 16795, typeID: 8, length: 32
> offset: 16830, typeID: 2, length: 75
> offset: 16908, typeID: 1, length: 57
> offset: 16968, typeID: 5, length: 20
> offset: 16991, typeID: 1, length: 57
> offset: 17051, typeID: 5, length: 20
> offset: 17074, typeID: 17, length: 35
> offset: 17112, typeID: 1, length: 57
> offset: 17141, typeID: 18, length: 149
> offset: 17172, typeID: 5, length: 20
> offset: 17209, typeID: 1, length: 57
> offset: 17233, typeID: 6, length: 126
> offset: 17269, typeID: 3, length: 21
> offset: 17293, typeID: 5, length: 20
> offset: 17316, typeID: 17, length: 35
> offset: 17400, typeID: 1, length: 57
> offset: 17460, typeID: 3, length: 21
> offset: 17484, typeID: 5, length: 20
> offset: 17507, typeID: 5, length: 20
> offset: 17530, typeID: 17, length: 35
> offset: 17568, typeID: 1, length: 57
> offset: 17628, typeID: 1, length: 57
> offset: 17688, typeID: 5, length: 20
> offset: 17711, typeID: 1, length: 57
> offset: 17771, typeID: 5, length: 20
> offset: 17794, typeID: 17, length: 35
> offset: 17863, typeID: 1, length: 57
> offset: 17923, typeID: 5, length: 20
> offset: 17946, typeID: 1, length: 57
> offset: 17972, typeID: 15, length: 205
> offset: 18006, typeID: 8, length: 32
> offset: 18038, typeID: 4, length: 23
> offset: 18041, typeID: 5, length: 20
> offset: 18064, typeID: 17, length: 35
> offset: 18102, typeID: 2, length: 75
> offset: 18156, typeID: 14, length: 104
> offset: 18180, typeID: 1, length: 57
